index,prediction,ground_truth,pred_mu_min,pred_mu_max,pred_mu_mean,maniqa,musiq,clipiqa,dists
51,../../results/gmodiff_test/51.hdr,/mnt/e/Ecode/all/Test/scene_0018_1/HDRImg.hdr,0.0,0.9668416976928711,0.558212399482727,0.5919587016105652,65.96753692626953,0.3953821361064911,0.0040122270584106445
52,../../results/gmodiff_test/52.hdr,/mnt/e/Ecode/all/Test/scene_0018_2/HDRImg.hdr,0.0,0.9698438048362732,0.5598939657211304,0.6012800335884094,65.2422866821289,0.38447996973991394,0.003168821334838867
53,../../results/gmodiff_test/53.hdr,/mnt/e/Ecode/all/Test/scene_0018_3/HDRImg.hdr,0.0,0.959953784942627,0.559864342212677,0.6036766171455383,65.4759750366211,0.4009414613246918,0.0024602413177490234
54,../../results/gmodiff_test/54.hdr,/mnt/e/Ecode/all/Test/scene_0019_1/HDRImg.hdr,0.0,1.0009135007858276,0.22485899925231934,0.5694408416748047,56.78786087036133,0.4220646321773529,0.04620623588562012
55,../../results/gmodiff_test/55.hdr,/mnt/e/Ecode/all/Test/scene_0019_2/HDRImg.hdr,0.0,1.0009135007858276,0.2288798689842224,0.5873855948448181,55.172996520996094,0.4630677402019501,0.031005024909973145
56,../../results/gmodiff_test/56.hdr,/mnt/e/Ecode/all/Test/scene_0019_3/HDRImg.hdr,0.0,1.0009135007858276,0.22993360459804535,0.5806714296340942,55.59051513671875,0.452292263507843,0.03023660182952881
57,../../results/gmodiff_test/57.hdr,/mnt/e/Ecode/all/Test/scene_0021_1/HDRImg.hdr,0.0,1.0009135007858276,0.4402790069580078,0.6190493106842041,56.213783264160156,0.4084836542606354,0.007077634334564209
58,../../results/gmodiff_test/58.hdr,/mnt/e/Ecode/all/Test/scene_0021_2/HDRImg.hdr,0.0,1.0009135007858276,0.43979936838150024,0.5638488531112671,55.18416976928711,0.4129237234592438,0.008377254009246826
59,../../results/gmodiff_test/59.hdr,/mnt/e/Ecode/all/Test/scene_0021_3/HDRImg.hdr,0.0,1.0009135007858276,0.4425348937511444,0.6001567244529724,56.209049224853516,0.4244827926158905,0.006851375102996826
60,../../results/gmodiff_test/60.hdr,/mnt/e/Ecode/all/Test/scene_0023_1/HDRImg.hdr,0.0,0.9976847171783447,0.5677567720413208,0.6087150573730469,62.94516372680664,0.386043518781662,0.009652435779571533
61,../../results/gmodiff_test/61.hdr,/mnt/e/Ecode/all/Test/scene_0023_2/HDRImg.hdr,0.0,0.9972161650657654,0.5667456984519958,0.5879284739494324,61.62493896484375,0.3855954110622406,0.006379902362823486
62,../../results/gmodiff_test/62.hdr,/mnt/e/Ecode/all/Test/scene_0023_3/HDRImg.hdr,0.0,0.9972161650657654,0.5661059021949768,0.5760003924369812,62.28955078125,0.39233002066612244,0.007454812526702881
63,../../results/gmodiff_test/63.hdr,/mnt/e/Ecode/all/Test/scene_0025_1/HDRImg.hdr,0.0,0.8620139360427856,0.4545801281929016,0.6600357294082642,67.36100006103516,0.3959408402442932,0.007924139499664307
64,../../results/gmodiff_test/64.hdr,/mnt/e/Ecode/all/Test/scene_0025_2/HDRImg.hdr,0.0,0.8559175729751587,0.4613704979419708,0.6544976234436035,68.31061553955078,0.3804805874824524,0.004719734191894531
65,../../results/gmodiff_test/65.hdr,/mnt/e/Ecode/all/Test/scene_0025_3/HDRImg.hdr,0.0,0.8559175729751587,0.46093305945396423,0.6555718779563904,69.38107299804688,0.4020906388759613,0.004621922969818115
66,../../results/gmodiff_test/66.hdr,/mnt/e/Ecode/all/Test/scene_0030_1/HDRImg.hdr,0.05593877285718918,1.0009135007858276,0.544713020324707,0.5987423062324524,64.73587799072266,0.4121381938457489,0.0049059391021728516
67,../../results/gmodiff_test/67.hdr,/mnt/e/Ecode/all/Test/scene_0030_2/HDRImg.hdr,0.05593877285718918,1.0009135007858276,0.5433259606361389,0.6001905202865601,63.31974792480469,0.4187160134315491,0.0044509172439575195
68,../../results/gmodiff_test/68.hdr,/mnt/e/Ecode/all/Test/scene_0030_3/HDRImg.hdr,0.10334420949220657,1.0009135007858276,0.5437387824058533,0.5911493301391602,66.35591888427734,0.4299800992012024,0.002141416072845459
69,../../results/gmodiff_test/69.hdr,/mnt/e/Ecode/all/Test/scene_0033_1/HDRImg.hdr,0.0,0.9612365961074829,0.6393427848815918,0.5275145173072815,67.01689147949219,0.5762789845466614,0.011391222476959229
70,../../results/gmodiff_test/70.hdr,/mnt/e/Ecode/all/Test/scene_0033_2/HDRImg.hdr,0.0,1.0,0.6502189040184021,0.4724099338054657,68.13399505615234,0.5925923585891724,0.020574629306793213
71,../../results/gmodiff_test/71.hdr,/mnt/e/Ecode/all/Test/scene_0033_3/HDRImg.hdr,0.0,0.9698438048362732,0.6529715657234192,0.46396127343177795,65.27558135986328,0.6132217645645142,0.015202224254608154
72,../../results/gmodiff_test/72.hdr,/mnt/e/Ecode/all/Test/scene_0038_1/HDRImg.hdr,0.07631359994411469,1.0009135007858276,0.45588478446006775,0.5615835785865784,51.79022979736328,0.4152517318725586,0.007837653160095215
